"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J3";"PinSocket_1x03_P2.00mm_Vertical";1;"DEBUBG";;;
2;"C14";"CAP 0402";1;"10UF";;;
3;"C16,C2,C6,C4";"CAP 0402";4;"0.1U";;;
4;"C12,C10,C5,C7";"CAP 0402";4;"10U";;;
5;"U2,U1";"SOIC-20W_7.5x12.8mm_P1.27mm";2;"ADM2587E";;;
6;"D1,D4";"SOT-23";2;"SM712_SOT23";;;
7;"R5,R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"100K";;;
8;"R3,R4";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"100";;;
9;"J2";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PORT-B";;;
10;"C1,C15,C9,C11,C17,C3,C8,C13";"CAP 0402";8;"100NF";;;
11;"J1";"JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical";1;"PORT-A";;;
12;"R1,R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"120";;;
13;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ATtiny402-SS";;;
